tanggal,pm10,so2,co,o3,no2,max
2010-01-01,60.0,4.0,73.0,27.0,14.0,73.0
2010-01-02,32.0,2.0,16.0,33.0,9.0,33.0
2010-01-03,27.0,2.0,19.0,20.0,9.0,27.0
2010-01-04,22.0,2.0,16.0,15.0,6.0,22.0
2010-01-05,25.0,2.0,17.0,15.0,8.0,25.0
2010-01-06,30.0,3.0,22.0,19.0,11.0,30.0
2010-01-07,41.0,4.0,24.0,27.0,13.0,41.0
2010-01-08,64.0,8.0,51.0,19.0,15.0,64.0
2010-01-09,55.0,5.0,39.0,23.0,16.0,55.0
2010-01-10,34.0,5.0,23.0,26.0,12.0,34.0
2010-01-11,55.0,10.0,32.0,23.0,16.0,55.0
2010-01-12,45.0,4.0,33.0,9.0,17.0,45.0
2010-01-13,28.0,5.0,29.0,10.0,12.0,29.0
2010-01-14,38.0,6.0,28.0,15.0,10.0,38.0
2010-01-15,35.0,5.0,33.0,17.0,17.0,35.0
2010-01-16,54.0,5.0,38.0,17.0,18.0,54.0
2010-01-17,44.0,4.0,28.0,22.0,14.0,44.0
2010-01-18,38.0,4.0,29.0,24.0,15.0,38.0
2010-01-19,40.0,3.0,43.0,23.0,23.0,43.0
2010-01-20,61.0,5.0,63.0,16.0,17.0,63.0
2010-01-21,36.0,4.0,27.0,23.0,13.0,36.0
2010-01-22,51.0,4.0,45.0,14.0,13.0,51.0
2010-01-23,35.0,3.0,30.0,20.0,14.0,35.0
2010-01-24,56.0,6.0,46.0,30.0,14.0,56.0
2010-01-25,59.0,4.0,38.0,18.0,15.0,59.0
2010-01-26,43.0,5.0,42.0,19.0,24.0,43.0
2010-01-27,54.0,8.0,38.0,40.0,16.0,54.0
2010-01-28,72.0,8.0,55.0,20.0,17.0,72.0
2010-01-29,51.0,8.0,24.0,19.0,11.0,51.0
2010-01-30,47.0,8.0,32.0,19.0,12.0,47.0
2010-01-31,32.0,5.0,25.0,26.0,10.0,32.0
